1	200	118	0
2	214	470	1
3	228	1058	1
4	244	1880	2
5	259	2938	2
6	276	5640	4
7	292	9048	5
8	310	13160	6
9	328	17978	7
10	346	23500	9
11	365	34898	12
12	385	47940	15
13	405	62628	18
14	426	78960	21
15	448	96938	24
16	471	127840	30
17	494	161798	35
18	518	198810	41
19	542	238878	47
20	568	282000	53
21	594	351231	62
22	621	427755	71
23	649	512196	80
24	678	605232	89
25	707	707587	98
26	738	820046	108
27	769	943453	117
28	802	1078717	126
29	835	1226815	135
30	870	1388803	144
31	905	1595229	158
32	942	1818827	172
33	979	2060796	185
34	1018	2322414	199
35	1058	2605043	212
36	1099	2910129	226
37	1142	3239210	239
38	1185	3593924	253
39	1230	3976012	266
40	1277	4387323	280
41	1324	4869381	299
42	1373	5382982	318
43	1424	5929882	336
44	1476	6511920	355
45	1529	7131034	374
46	1584	7789258	393
47	1641	8488730	412
48	1699	9231697	431
49	1759	10020519	449
50	1820	10857676	468
51	1884	11857343	494
52	1949	12913686	520
53	2016	14029449	546
54	2085	15207495	571
55	2155	16450818	597
56	2228	17762545	623
57	2303	19145941	649
58	2380	20604414	675
59	2459	22141527	700
60	2541	23760997	726
61	2624	25933410	770
62	2710	28214785	813
63	2799	30609702	856
64	2889	39747505	1079
65	2983	51493509	1358
66	3079	55474876	1420
67	3177	59648780	1482
68	3278	64023195	1545
69	3382	68606389	1607
70	3489	73406955	1670
71	3599	79345238	1752
72	3712	85573753	1834
73	3828	92104572	1917
74	3947	98950215	1999
75	4069	106123703	2082
76	4195	113638552	2164
77	4323	121508783	2247
78	4456	129748946	2329
79	4592	138374168	2412
80	4732	147400127	2494
81	4875	158227752	2600
82	5022	169572387	2705
83	5173	181455292	2810
84	5329	193898546	2915
85	5488	206925087	3021
86	5652	220558723	3126
87	5819	234824141	3231
88	5992	249746989	3336
89	6169	265353867	3442
90	6350	281672373	3547
91	6728	369337595	4515
92	6728	473538898	5621
93	3925	430636533	7087
94	7126	688586209	8373
95	7333	686078166	8693
96	7545	630281734	9013
97	7763	843249355	9333
98	7987	963955058	10811
99	8216	1322659532	12765
100	8452	1406035568	13174
101	8693	1507651756	13715
102	8941	1614099432	14256
103	9195	1725577160	14796
104	9456	1842290785	15337
105	9723	1964454143	15878
106	9998	2232028247	16418
107	10279	2639178042	16959
108	10568	3090465239	17500
109	10864	3588823339	18040
110	11168	4044607839	18581
111	11480	4395218851	19297
112	11800	4763226316	20012
113	12128	5149358469	20728
114	12464	5554371811	21444
115	12809	5979051260	22159
116	13162	6514125596	23138
117	13525	7075923517	24116
118	13897	7665566311	25094
119	14279	8284219360	26072
120	14670	8933092216	27050
121	15071	9787165583	28466
122	15482	10684443606	29882
123	15904	11626749697	31297
124	16336	12615977767	32713
125	16779	13654095894	34129
126	17234	14743146098	35544
127	17700	15885250808	36960
128	18177	17082612701	38376
129	18667	18337520265	39791
130	19169	19652347375	41207
131	19684	21496499316	44373
132	20211	23433613446	47539
133	20752	25467607076	50704
134	21306	27602550051	53870
135	21874	29842667783	57036
136	22457	34898898661	68951
137	23054	40231646228	80867
138	23665	45852950442	92783
139	24292	51775324859	104698
140	24935	58011773148	116614
